id	review	rating	fresh	critic	top_critic	publisher	date
3	A distinctly gallows take on contemporary financial mores, as one absurdly rich man's limo ride across town for a haircut functions as a state-of-the-nation discourse. 	3/5	fresh	PJ Nabarro	0	Patrick Nabarro	November 10, 2018
3	It's an allegory in search of a meaning that never arrives...It's just old-fashioned bad storytelling.		rotten	Annalee Newitz	0	io9.com	May 23, 2018
3	... life lived in a bubble in financial dealings and digital communications and brief face-to-face conversations and sexual intermissions in a space shuttle of a limousine creeping through the gridlock of an anonymous New York City.		fresh	Sean Axmaker	0	Stream on Demand	January 4, 2018
3	"Continuing along a line introduced in last year's ""A Dangerous Method"", David Cronenberg pushes his cinema towards a talky abstraction in his uncanny, perversely funny and frighteningly insular adaptation of Don DeLillo, ""Cosmopolis""."		fresh	Daniel Kasman	0	MUBI	November 16, 2017
3	... a perverse twist on neorealism... 		fresh		0	Cinema Scope	October 12, 2017
3	... Cronenberg's Cosmopolis expresses something new and necessary about the book, which is to say about limits, the gaps in what can be known, both within and between us.		fresh	Michelle Orange	0	Capital New York	September 11, 2017
3	Quickly grows repetitive and tiresome, meandering toward messages that land softly, producing little impact.	C	rotten	Eric D. Snider	0	EricDSnider.com	July 17, 2013
3	Cronenberg is not a director to be daunted by a scenario in which the antihero spends most of his time in a stretch limo. Turning it into a film that interests anyone ... is another matter	2/5	rotten	Matt Kelemen	0	Las Vegas CityLife	April 21, 2013
3	Cronenberg's cold, exacting precision and emotionally removed observation may not grab all viewers, but under those perfect surfaces is a raw horror trying to claw out of the denial.		fresh	Sean Axmaker	0	Parallax View	March 24, 2013
3	Over and above its topical urgency or the bit about the misfortune of globalism, it does what this director has always done in his films: split open the head of a character, plunge inside and try to visualise the bad and the ugly things to be found there.		fresh	Kong Rithdee	0	Bangkok Post	March 4, 2013
3	"Cosmopolis"" is a hypnotic examination of our modern anxieties about the dehumanization brought on by wealth, power, and technology."		fresh	Tim Grierson	0	Deadspin	February 12, 2013
3	While not one of Cronenberg's stronger films, this anti-capitalist adaptation still merits attention.	B-	fresh	Emanuel Levy	0	EmanuelLevy.Com	February 3, 2013
3	Robert Pattinson works mighty hard to make Cosmopolis more than just an erudite slap at modern capitalism. The Twilight heartthrob ultimately fails to rescue a meandering story hitting stale versions of the same talking points.	2/4	rotten	Christian Toto	0	Big Hollywood	January 15, 2013
3	The anger over the injustice of the financial collapse and bailout is what powered the Tea Party movement as well as the Occupy Wall Street movement, and it powers this movie, too.	B	fresh	Robert Roten	0	Laramie Movie Scope	January 7, 2013
3	For those who like their Cronenberg thick and chewy	3/4	fresh	Marty Mapes	0	Movie Habit	October 20, 2012
3	For better or worse - often both - Cosmopolis is a quintessential David Cronenberg film. Cosmopolis is simultaneously fascinating and impenetrable, profound and absurd, labyrinthine yet intimate.	3/5	fresh	Adam Ross	0	The Aristocrat	September 27, 2012
3	For one of the smartest films I've seen in a while, Cosmopolis is also one of the least outwardly enjoyable. That by no means makes it anything less than a great film however.	4/5	fresh	Patrick Kolan	0	Shotgun Cinema	September 26, 2012
3	Its major problem is that it's not cinematic.	B	fresh	Dennis Schwartz	0	Ozus' World Movie Reviews	September 25, 2012
3	"It's fascinating to watch Pattinson actually acting, rather than merely brooding through another ""Twilight"" movie, but he's as trapped in Cronenberg's sterile intellectualism as Packer is in his leather-upholstered hell."	2/4	rotten	Sean P. Means	0	Salt Lake Tribune	September 14, 2012
3	A black comedy as dry and deadpan as a bleached skull. To this end, the movie opens with a sort of death's-head grin: an in-your-face closeup of the grille of a stretch limousine...	4/4	fresh	John Beifuss	0	Commercial Appeal (Memphis, TN)	September 10, 2012
3	While 'Cosmopolis' is mostly emotionless and a big letdown it isn't completely boring and has the potential to be better with repeat viewings, but it just isn't as good as a Cronenberg film should be.	6/10	fresh	Chris Sawin	0	Examiner.com	September 7, 2012
3	In the past, Cronenberg has used such deadpan performances to striking effect, but in the case of Cosmopolis, the approach just leaves a giant vaccum in the soul of the celluloid	1/4	rotten	Jason Buchanan	0	TV Guide	September 7, 2012
3	... a movie about a sentient zombie, trapped in a womblike limousine while outside the dead souls of Manhattan roil, spraying paint on his windows and hurling rats. Everything he wants is posthumous.	8	fresh	Philip Martin	0	Arkansas Democrat-Gazette	September 7, 2012
3	Those who said Don DeLillo's book was unfilmable were wrong. This is a film. That much is undeniable. Whether it's a compelling one is a whole other question.	2/5	rotten	Mike Scott	0	Times-Picayune	September 7, 2012
3	The rapid dialogue is dry and mannered, like a David Mamet play, there's virtually no story and Cronenberg's visual scheme is cold and claustrophobic.	2.5/4	rotten	Joe Williams	1	St. Louis Post-Dispatch	September 6, 2012
3	"Cosmopolis"" is proof that a film can be provocative yet completely un-enjoyable."	4/10	rotten	Justin Craig	0	FoxNews.com	September 5, 2012
3	It's fascinating but anti-cinematic and a frustrating film to get your arms around.		fresh	Roger Moore	0	Tribune News Service	September 4, 2012
3	Throws heady ideas at you faster than Michael Bay can explode a building, but the rate at which ideas stick is inconsistent. It does, however, develop a rhythm. The metered language forces you to adjust just as emotion develops.	2.5/4	fresh	Eric Melin	0	Scene-Stealers.com	September 4, 2012
3	A master filmmaker's rumination on capitalism as a vision of diseased titanium		fresh	Fernando F. Croce	0	CinePassion	September 4, 2012
3	David Cronenberg takes a wayward shot at making a film out of Don DeLillo's artful novel Cosmopolis. Cronenberg's version drones and flounders.	2.0/5	rotten	Tony Macklin	0	tonymacklin.net	September 2, 2012
3	Cynical and futile - a total waste of time and money.	3/10	rotten	Susan Granger	0	SSG Syndicate	September 1, 2012
3	"If there has ever been a point in human history when the phrase ""asymmetrical prostate"" got a bigger laugh than it does [here], I've never heard of it."	7/10	fresh	Tim Brayton	0	Antagony &amp; Ecstasy	August 31, 2012
3	Well, if it isn't the most confounding movie of the year.		rotten	Monica Castillo	0	Dig Boston	August 31, 2012
3	If Cosmopolis remains chilly and remote, it does so in a way that often feels unsettlingly familiar.	3/5	fresh	Scott Renshaw	0	Salt Lake City Weekly	August 30, 2012
3	I don't know if DeLillo's fetishized doubletalk ever works in a visual medium like film, but I can tell you that Robert Pattinson sure as hell isn't up to it, at least not without better direction than this. 	C	rotten	Vincent Mancini	0	FilmDrunk	August 30, 2012
3	Though hardly a crowd-pleaser. it's the sort of challenging, thought-provoking, stylistically striking piece of auteurism one rarely encounters nowadays.	A-	fresh	Frank Swietek	0	One Guy's Opinion	August 30, 2012
3	Cosmopolis deconstructs language, symbols and theories to present a sprawling and dense post-GFC Heart of Darkness.	4/5	fresh	Thomas Caldwell	0	Cinema Autopsy	August 29, 2012
3	Cold and calculated, Cosmospolis is a mesmerizing journey that takes us deep into the heart of darkness -- familiar territory for such an extraordinary auteur.		fresh	Mark Sells	0	The Reel Deal	August 28, 2012
3	With a cast like this we expected major Cronenberg. Didn't happen.		fresh	Kelly Vance	0	East Bay Express	August 27, 2012
3	Not worth seeing		rotten	Diana Saenger	0	ReviewExpress.com	August 25, 2012
3	Cosmopolis is an investment that pays off enormous dividends.	5/5	fresh	Peter Sobczynski	0	eFilmCritic.com	August 24, 2012
3	Cosmopolis is something like the anti-matter version of Atlas Shrugged.		fresh		0	MetroActive	August 24, 2012
3	If you pay even a single penny to watch the thing, you'll be making the most ill-advised purchase of your natural born life.	F	rotten	Erick Weber	0	NECN	August 24, 2012
3	I can't convince myself that Cosmopolis is anything other than unscripted documentary about the life of Robert Pattinson, shot by security cameras. 	3.5/4	fresh	Phil Villarreal	0	OK! Magazine	August 24, 2012
3	I must admit Robert Pattinson does dead extremely well.	3/5	fresh	Marc Savlov	0	Austin Chronicle	August 24, 2012
3	"Cosmopolis"" is a deeply subversive, deeply intelligent movie for grown-ups. Brilliant."	4/4	fresh	Jeffrey M. Anderson	0	San Francisco Examiner	August 24, 2012
3	Robert Pattinson... brings a slick, knowing roboticness to a man desperate to maintain a pretense of control and command of the world around him.		fresh	MaryAnn Johanson	0	Flick Filosopher	August 24, 2012
3	It feels like each and every moment bursts forth with urgent dialogue, and yet what does anyone actually say?	2/4	rotten	Stephanie Merry	1	Washington Post	August 24, 2012
3	Then there's the matter of the screenplay, which places everything in a haze of mannered syntax and enigmatic phrasing.	2/4	rotten	Mark Dujsik	0	Mark Reviews Movies	August 23, 2012
3	Art-house cinema at its most achingly smarmy and self-indulgent. Frustrating verging on abysmal verging on infuriating.		rotten	Dustin Putman	0	TheFilmFile.com	August 23, 2012
3	There's not really a movie there, nothing that sustains itself from scene to scene and nothing that's worth watching from beginning to end.	2/4	rotten	Mick LaSalle	1	San Francisco Chronicle	August 23, 2012
3	This film is a tough sell. But it's never less than daring, poised or deliberate. It doesn't go down easy, but it clings.	B-	fresh	Shawn Levy	0	Oregonian	August 23, 2012
3	Watching Cosmopolis, it's hard to say if you're witnessing a revelation or a crock, but you'll hang on its every word.	4/5	fresh	Hank Sartin	0	Time Out Chicago	August 23, 2012
3	Cronenberg seems like he has something specific, possibly devilishly satiric in mind, but his screen instincts are numb, constructing a feature that lurches from scene to scene.	D+	rotten	Brian Orndorf	0	BrianOrndorf.com	August 23, 2012
3	The film is all too faithful to its un-cinematic source.	1.5/4	rotten	Colin Covert	1	Minneapolis Star Tribune	August 23, 2012
3	"Cosmopolis,"" because of its allegiance to the book's mannered, offbeat language, feels like it never wakes up."	2/4	rotten	Moira MacDonald	1	Seattle Times	August 23, 2012
3	A purposefully disjointed, pretentious, philosophical, and deeply stylized journey through an exaggerated commentary on the haves, the have-nots, and those stuck in the middle. 	3.5/5	fresh	Brian Tallerico	0	HollywoodChicago.com	August 23, 2012
3	Here we have a brainy, sometimes impenetrable director, working from a book by brainy, sometimes impenetrable author. What do they come up with? Something that's brainy, sometimes impenetrable.	2.5/4	rotten	Gary Thompson	0	Philadelphia Daily News	August 23, 2012
3	Poor Pattinson does the best he can. He's not terrible. But he's definitely out of his element, if not beyond his depth, an altar boy in a bishop's robes.	2/4	rotten	Mark Feeney	1	Boston Globe	August 23, 2012
3	The program is secure, but are we?	8/10	fresh	Ron Wilkinson	0	Monsters and Critics	August 23, 2012
3	The story seems to cleave into cerebral disquisition and primal sex.		fresh	J. R. Jones	1	Chicago Reader	August 23, 2012
3	Juliette Binoche is unusually playful and loose as Pattinson's sex buddy, and Paul Giamatti's intensity briefly raises the movie's sharpness level. But I don't think they're enough to compensate for the film's general air of arch superiority.	1/4	rotten	Chris Hewitt	0	St. Paul Pioneer Press	August 23, 2012
3	The movie isn't for everyone. But if it grabs you, prepare for it to stick in your head for days.	3/4	fresh	Rene Rodriguez	1	Miami Herald	August 23, 2012
3	Robert Pattinson's most interesting performance by a mile.	3/4	fresh	Matt Pais	0	RedEye	August 23, 2012
3	A flawlessly directed film about enigmatic people who speak in morose epigrams about vague universal principles they show no sign of understanding.	2/4	rotten	Roger Ebert	1	Chicago Sun-Times	August 23, 2012
3	Like all the best Cronenberg pictures, Cosmopolis is a pitch-black comedy about man's foolhardy attempt to impose systems of order on nature's chaos.		fresh	Sean Burns	0	Philadelphia Weekly	August 22, 2012
3	If you are a fan of David Cronenberg, you should include [Cosmopolis] in things to watch list.	B	fresh	Robin Clifford	0	Reeling Reviews	August 22, 2012
3	There is sci-fi and there is Cronenberg sci-fi and here he has reached his pinnacle with his hallucinatory, hypnotic trip. We are in Cronenberg's bubble until he lets it burst.	B+	fresh	Laura Clifford	0	Reeling Reviews	August 22, 2012
3	David Cronenberg's North by Northwest	4/4	fresh	Walter Chaw	0	Film Freak Central	August 22, 2012
3	...the bodily invasions are not only reflective of a psychological state, but of a socioeconomic one as well.	3.5/4	fresh	Josh Larsen	0	LarsenOnFilm	August 22, 2012
3	After seeing Cosmopolis, you're going to want to take a shower.	3/5	fresh	Samir Mathur	0	Orlando Weekly	August 22, 2012
3	Though the cool, insolent stoicism does work for Pattinson as the narcissistic royal-'we' speaking wunderkind, even he can't carry this weighty, wordy dissertation on the burdens of money, fame and power.		rotten	Staci Layne	0	Sci-Fi Weekly	August 21, 2012
3	As usual, Cronenberg shows masterful control, starting with Pattinson.	6/10	fresh	Jesse Hassenger	0	PopMatters	August 21, 2012
3	It's effective for all the reasons, as propaganda, it's not: It's messy and goofy and unsettling.		fresh	Paul Schrodt	0	Esquire Magazine	August 21, 2012
3	It helps that Pattinson interacts with truly great performances from the supporting cast. 	A-	fresh	Drew McWeeny	0	HitFix	August 21, 2012
3	It helps to let yourself get lost in David Cronenberg's Cosmopolis, which adapts Don Delillo's novel and clings hard to the inscrutable, arcane language, which very deliberately keeps the audience at arm's length	3.5/5	fresh	Katey Rich	0	CinemaBlend	August 20, 2012
3	An often fascinating formal exercise by one of modern cinema's most consistently intriguing filmmakers.		fresh	Ethan Alter	0	Television Without Pity	August 17, 2012
3	Despite the constrictions, Cronenberg keeps the space handsome and active. For long stretches, Cosmopolis is dreamy and funny, in an off-centered way.		fresh	David Denby	1	New Yorker	August 17, 2012
3	It is one of the director's better movies of recent years, even if it is occasionally maddening.		fresh	Bilge Ebiri	1	New York Magazine/Vulture	August 17, 2012
3	Smart and stylized - which doesn't innoculate this story of a sad billionaire against lethal familiarity and dullness. Pattinson's stiffness works, but the dialogue is vapid.		rotten	Caryn James	0	James on screenS	August 17, 2012
3	Nothing lies behind or within the film's vapid non-personalities, flat acting and dull dialogue, hot-air one-liner aphorisms, mechanical couplings or ice-queen evasions of consummation.		rotten	Donald J. Levit	0	ReelTalk Movie Reviews	August 17, 2012
3	David Cronenberg meets Don DeLillo at last, and it's as if all the angels of heaven have come together. And said nothing.	1/4	rotten	Kyle Smith	1	New York Post	August 17, 2012
3	The hilarious thought of stunned Team Edward devotees scratching their heads at this mystifying David Cronenberg movie is about all there is to get you through it.	1.5/4	rotten	Robert Levin	0	amNewYork	August 16, 2012
3	I took a strange pleasure in submitting to this movie's stilted but weirdly poetic rhythms. But I freely acknowledge that for others, enduring Cosmopolis may be less fun than a backseat prostate exam.		fresh	Dana Stevens	1	Slate	August 16, 2012
3	Weird, difficult, and important, Cosmopolis may be one of the best films of the year.	9/10	fresh	Witney Seibold	0	CraveOnline	August 16, 2012
